date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2022-02-06,4717786396.518674,19156898528.97079,16866575574.89607,7443702582.1875725,7380832292.2043295,12873691674.860374,4727723853.743504,7919692220.901882
2022-02-07,4837225120.112239,19329333498.47874,17058212981.014046,7547056108.135978,7427792506.819377,12976530663.528044,4727723853.743504,8058904269.600229
2022-02-08,4732398837.210862,19436904677.847874,17500606785.91601,7755625846.172206,7452117323.916636,13515103662.986095,4727723853.743504,8149955616.686762
2022-02-09,4849262417.262643,19587762903.275288,17802119153.51463,7680736842.285805,7528760478.9893875,13681863517.277142,4915798239.069118,8001520346.191981
2022-02-10,4774628622.930698,19937965979.719753,18120209828.431515,7883396008.73679,7307303514.346451,13991841558.427588,4948550525.103434,8058205425.755045
2022-02-11,4665184295.910605,19835171947.69495,17314779206.238506,7609793948.975423,7220978458.820289,13849374952.478882,4809754760.853256,7848992990.985662
2022-02-12,4699072551.668546,19673822645.977345,16866108660.554792,7288718116.417433,6998758034.2951765,13411981974.445019,4540815900.62203,7792381704.759389
2022-02-13,4685626726.121,19624390597.72254,16792499245.17525,7334806668.185677,7138572674.581301,13403119596.648964,4534351288.277685,7910217286.025034
2022-02-14,4718375898.5765295,19548314292.37657,16727051540.800354,7245382476.189465,6983897213.454588,13304662488.5141,4510806996.594448,7956805640.302783
2022-02-15,4834429028.136564,19433599424.794113,16854800822.038973,7358130217.768722,7054297382.4996605,13263970707.985762,4557515764.3058605,8169022442.101052
2022-02-16,4730035924.14072,19876632310.361664,17792279993.620094,7783955023.916321,7543161938.256717,13772034755.808891,4821946964.6255245,8518621640.621891
2022-02-17,4545265903.671938,19863330901.036846,17569873953.744404,7836969069.647057,7504268032.11568,13572241606.898235,4822303827.496694,8588104035.248184
2022-02-18,4546572115.618019,19487744399.712154,16543303371.886274,7482796838.4047985,6898350040.115717,12743584722.658184,4444464440.77473,8328970143.184048
2022-02-19,4527859150.929559,19276369090.037857,16234033785.61023,7252453573.6029415,6754811475.050947,12472541153.200249,4338799141.582161,8398352735.458675
2022-02-20,4353256179.371345,19244545329.033813,16277424497.871853,7105059454.323901,6713230147.513461,12425101250.978012,4304642035.837208,8501206648.851875
2022-02-21,4264852727.829033,18904302438.24909,15835998170.326683,6881874587.199762,6601930640.60103,12038607377.434093,4167310136.419992,8714478446.371328
2022-02-22,4399184686.968977,18693641019.259594,15507182595.00361,6728797016.672358,6500455142.656841,11610544534.98199,5543185403.634428,8714908772.485178
2022-02-23,4348201174.357914,18761543652.70919,15733808152.304115,6812548533.47877,6486796803.544827,11716378714.473337,5442386768.447928,8959769658.448315
2022-02-24,4258851474.93678,18430521631.77556,15538687182.333807,6741508726.303579,6430720790.087813,11586658040.473282,5792640518.395851,9487175727.428883
2022-02-25,4355160887.895575,17872220666.2895,15210909778.134638,6635003816.219875,6788657299.806497,11692727069.69006,5792640518.395851,9822547221.877775
2022-02-26,4349876213.3835,17875208355.444046,15462961067.729,6968684747.36993,7018149698.020654,12023135115.880056,5792640518.395851,10255615032.284386
